epoch,loss
0.025510204081632654,0.752
0.05102040816326531,0.5441
0.07653061224489796,1.0819
0.10204081632653061,0.4385
0.12755102040816327,0.985
0.15306122448979592,0.5871
0.17857142857142858,0.5041
0.20408163265306123,0.5105
0.22959183673469388,0.7018
0.25510204081632654,0.5339
0.28061224489795916,0.5049
0.30612244897959184,1.0931
0.33163265306122447,0.8464
0.35714285714285715,0.9125
0.3826530612244898,0.6783
0.40816326530612246,1.1165
0.4336734693877551,0.9728
0.45918367346938777,0.3729
0.4846938775510204,0.6995
0.5102040816326531,0.6384
0.5357142857142857,0.6841
0.5612244897959183,0.1853
0.5867346938775511,0.7515
0.6122448979591837,0.9428
0.6377551020408163,1.3864
0.6632653061224489,0.0198
0.6887755102040817,0.9111
0.7142857142857143,0.8972
0.7397959183673469,1.3418
0.7653061224489796,0.5643
0.7908163265306123,0.5454
0.8163265306122449,0.3349
0.8418367346938775,0.7964
0.8673469387755102,0.176
0.8928571428571429,1.1828
0.9183673469387755,0.5193
0.9438775510204082,0.123
0.9693877551020408,0.9822
0.9948979591836735,0.5156
1.0204081632653061,1.0456
1.0459183673469388,0.9984
1.0714285714285714,1.6565
1.096938775510204,0.026
1.1224489795918366,0.4517
1.1479591836734695,0.3754
1.1734693877551021,1.1883
1.1989795918367347,0.9656
1.2244897959183674,0.4975
1.25,0.519
1.2755102040816326,1.6918
1.3010204081632653,0.7691
1.3265306122448979,0.8682
1.3520408163265305,1.5997
1.3775510204081631,0.0147
1.403061224489796,1.0665
1.4285714285714286,0.6132
1.4540816326530612,0.9231
1.4795918367346939,0.4486
1.5051020408163265,0.97
1.5306122448979593,0.0123
1.556122448979592,0.0072
1.5816326530612246,0.1573
1.6071428571428572,0.5491
1.6326530612244898,1.0108
1.6581632653061225,0.4937
1.683673469387755,0.5361
1.7091836734693877,0.9328
1.7346938775510203,0.0069
1.760204081632653,0.6659
1.7857142857142856,0.8115
1.8112244897959182,0.5096
1.836734693877551,0.5724
1.8622448979591837,0.003
1.8877551020408163,0.4199
1.913265306122449,0.4609
1.9387755102040818,0.004
1.9642857142857144,0.8762
1.989795918367347,1.7233
2.0153061224489797,1.4125
2.0408163265306123,0.5513
2.066326530612245,0.0046
2.0918367346938775,0.5427
2.11734693877551,0.2895
2.142857142857143,0.0513
2.1683673469387754,0.4745
2.193877551020408,0.0026
2.2193877551020407,0.5399
2.2448979591836733,0.7297
2.270408163265306,0.1114
2.295918367346939,0.457
2.3214285714285716,0.0024
2.3469387755102042,0.2208
2.372448979591837,1.9313
2.3979591836734695,1.4542
2.423469387755102,0.4416
2.4489795918367347,0.8368
2.4744897959183674,0.5276
2.5,0.0051
2.5255102040816326,0.0042
2.5510204081632653,0.8229
2.576530612244898,0.7041
2.6020408163265305,0.0033
2.627551020408163,0.1591
2.6530612244897958,1.1569
2.678571428571429,0.0037
2.704081632653061,0.0054
2.729591836734694,0.0025
